year_month,total_flights,avg_dep_delay,avg_arr_delay,cancel_rate,ontime_rate
2019-01,59412,9.543091063299466,4.09134623730579,0.02804147310307682,0.7904127112367871
2019-02,54565,13.594905923607707,9.032902334210476,0.02862640887015486,0.7422340328049116
2019-03,64894,9.210579281715832,3.2983111195135018,0.020263814836502605,0.8110148858137887
2019-04,62080,10.357350224333597,4.563335539377896,0.023936855670103094,0.7973743556701031
2019-05,64966,11.517567015492913,6.541246627857447,0.02111873903272481,0.7798386848505372
2019-06,64777,16.028346704420326,11.789805595068753,0.01945134847245164,0.7355851613998796
2019-07,67213,13.802231960091584,8.340810728436452,0.019906863255620192,0.7717852201211075
2019-08,67469,12.780101794964462,7.678693430877596,0.016703967748151003,0.7791430138285731
2019-09,61987,6.284146381417292,0.058015994219748096,0.015422588607288625,0.8467581912336458
2019-10,64869,7.823958640604865,2.3436420233463036,0.007507438067489864,0.8253711325902974
2019-11,61662,6.443063404436024,-0.09342062193126023,0.0074762414452985634,0.8481885115630372
2019-12,63779,12.193763638088612,5.985936707255201,0.008843036109064112,0.7865911977296602
2020-01,62160,6.267117043789679,-1.6639254654331261,0.012097812097812098,0.8507078507078507
2020-02,58479,7.306548440518907,-0.277954498305788,0.009045982318439097,0.8406436498572137
2020-03,66305,1.461053089643168,-6.309905720358226,0.16862981675590077,0.747379533971797
2020-04,32074,-3.443436015162031,-13.866670232110387,0.4162249797343643,0.5547483943380932
2020-05,18645,-1.8656330749354004,-11.336881472957423,0.06607669616519174,0.8880128720836685
2020-06,23147,-0.5913936557462298,-7.63257065948856,0.0031537564263187452,0.931740614334471
2020-07,36088,0.3979449377338471,-5.241175647305808,0.007758811793393926,0.9056750166260252
2020-08,38528,-0.009412690089145255,-5.999658353262727,0.010174418604651164,0.9099096760797342
2020-09,32792,-0.4540048432087791,-7.3224043715847,0.005306172237131007,0.9315991705293974
2020-10,35935,0.8303359158671999,-5.0481580053228745,0.005203840267149019,0.909781550020871
2020-11,37313,-0.38040198297230304,-6.625219197669086,0.005440463109372069,0.9185806555356042
2020-12,37884,3.2593294032916322,-2.0418492784607163,0.010664132615352128,0.8706050047513462
2021-01,36914,2.250102658162008,-5.065679012345679,0.01078181719672753,0.8900146285961965
2021-02,33742,5.915992474129821,0.40868061015883,0.05530199751052101,0.8042795329263233
2021-03,45143,2.8118245818573158,-4.685801554148139,0.012094898433865716,0.8860952971667811
2021-04,45735,4.047428571428571,-3.730764151773924,0.005400677817863781,0.8864108450858205
2021-05,50421,6.486047762264226,-0.49125996364144875,0.004482259376053628,0.8602169730866107
2021-06,55393,15.563174114021571,10.351131405004327,0.016193381835249942,0.7458884696622317
2021-07,59653,16.847476380968594,11.805547485174234,0.01579132650495365,0.735218681373946
2021-08,59484,14.149792027729635,9.20297925657803,0.030747764104633177,0.7450743056956493
2021-09,55127,6.619871877237101,0.41623889164872774,0.012190033921671777,0.8485134326192247
2021-10,57396,10.16419210867903,3.9093289630724835,0.0203150045299324,0.8000731758310684
2021-11,55885,7.588473660513282,0.6207294635448609,0.006710208463809609,0.8432853180638812
2021-12,56740,13.213129252928542,6.759401763566243,0.02410997532604864,0.7591117377511456
2022-01,54895,10.940005824677216,3.981634044210731,0.0626104381091174,0.7546771108479825
2022-02,50685,11.123550530268641,4.598560674993796,0.044372102199861894,0.7666765315182007
2022-03,57748,12.880094319701556,7.289977060172931,0.016242986770104592,0.7694119276858074
2022-04,56739,13.388813785396277,8.483004267013813,0.022665186203493188,0.7537672500396553
2022-05,59051,12.39474320450385,7.15155348385867,0.020050464852415708,0.7722138490457401
2022-06,59151,15.970994547323311,10.815224998250402,0.03058274585383172,0.7317374177951345
2022-07,60744,15.152613870335962,9.817402702157693,0.017170420123798234,0.7500658501251153
2022-08,60169,13.82064977036911,8.442626590385109,0.024032308996327013,0.7573002709036215
2022-09,57022,8.022887041947712,1.9254713783692181,0.014959138578092666,0.8219634527024657
2022-10,58590,8.041815865583253,1.9833198212961205,0.008738692609660351,0.8327018262502134
2022-11,56080,9.813703223015358,4.538788196389526,0.011216119828815978,0.7973074179743224
2022-12,56986,18.20798591810265,13.4514251715226,0.053732495700698414,0.6918190432737865
2023-01,55321,12.863798028194969,7.723224518466487,0.019775492127763417,0.7627844760579165
2023-02,51026,9.971057046979865,3.953060570879539,0.01924509073805511,0.7956335985575981
2023-03,59009,13.610646805443531,9.64229167383747,0.012879391279296378,0.7447677472927858
2023-04,57289,13.866949739726758,9.25363584515577,0.017926652586011275,0.7533732479184486
2023-05,59447,10.087537418187353,3.8280251538213808,0.00550069810082931,0.8135818460140966
2023-06,58668,18.829588926758017,14.245814839408661,0.02074384673075612,0.7134212858798664
2023-07,61270,21.531001988270873,16.99865647829373,0.024383874653174473,0.6916435449649094
2023-08,61454,14.176707556670904,8.411577639751552,0.014775279070524295,0.7689165880170534
